fips,stname,Ctyname,cases_2018,ststatus,pop_2018,pct_uninsured,incidence_2018,active_months_10c,mean_annual_temp_c
42081,Pennsylvania,Lycoming County,88,High Incidenc,113664,6.7,77.42117117117117,6,9.18
42083,Pennsylvania,McKean County,83,High Incidenc,40968,6.3,202.59714899433703,5,8.16
42085,Pennsylvania,Mercer County,75,High Incidenc,110683,6.9,67.76108345455039,6,9.55
42087,Pennsylvania,Mifflin County,59,High Incidenc,46222,8.8,127.64484444636754,6,10.46
42089,Pennsylvania,Monroe County,105,High Incidenc,169507,7.6,61.94434448134886,6,8.96
42091,Pennsylvania,Montgomery County,463,High Incidenc,828604,4.6,55.877113796216285,6,12.33
42093,Pennsylvania,Montour County,10,High Incidenc,18240,5,54.82456140350877,6,10.27
42095,Pennsylvania,Northampton County,88,High Incidenc,304807,6,28.87072803446115,6,10.97
42097,Pennsylvania,Northumberland County,60,High Incidenc,91083,6.9,65.87398307038636,6,10.39
42099,Pennsylvania,Perry County,110,High Incidenc,46139,8.5,238.4100218903747,6,11.3
42101,Pennsylvania,Philadelphia County,190,High Incidenc,1584138,8.7,11.993904571445166,7,13.46
42103,Pennsylvania,Pike County,59,High Incidenc,55933,7,105.48334614628216,5,8.75
42105,Pennsylvania,Potter County,49,High Incidenc,16622,7.2,294.7900372999639,5,7.69
42107,Pennsylvania,Schuylkill County,140,High Incidenc,142067,6.5,98.54505268640852,6,10
42109,Pennsylvania,Snyder County,35,High Incidenc,40540,9.2,86.3344844597928,6,10.53
