"fips","stname","Ctyname","cases_2018","ststatus","pop_2018","pct_uninsured","incidence_2018","active_months_10c","mean_annual_temp_c","canopy_pct","coverage_wt"
27161,"Minnesota","Waseca County",2,"High Incidenc",18691,5,10.7003370606174,5,6.36,2.57443037013866,1.00000000000001
27163,"Minnesota","Washington County",90,"High Incidenc",259201,3.2,34.7220882635484,5,6.61,20.4847583860934,0.999999999999989
27165,"Minnesota","Watonwan County",1,"High Incidenc",10980,9.2,9.10746812386157,5,6.52,1.14391376819538,0.999999999999998
27167,"Minnesota","Wilkin County",0,"High Incidenc",6254,4.3,0,5,5.42,0.407870018438038,1
27169,"Minnesota","Winona County",27,"High Incidenc",50825,5.1,53.1234628627644,5,7.28,27.7688569333703,1
27171,"Minnesota","Wright County",28,"High Incidenc",136349,4,20.535537481023,5,6.14,8.61448552304757,1
27173,"Minnesota","Yellow Medicine County",0,"High Incidenc",9795,5.6,0,5,6.5,1.21846685184292,0.999999999999999
33001,"New Hampshire","Belknap County",41,"High Incidenc",61022,8.3,67.1888826980433,5,7.69,62.80834771151,0.937451158477841
33003,"New Hampshire","Carroll County",73,"High Incidenc",48779,9.7,149.654564464216,5,6.67,73.8757452067293,0.9995561025725
33005,"New Hampshire","Cheshire County",38,"High Incidenc",76493,7.6,49.6777482906933,5,8.1,72.7087097701178,0.999999999999987
33007,"New Hampshire","Coos County",5,"High Incidenc",31589,8.8,15.8282946595334,5,4.63,70.9874939500757,0.977084794142907
33009,"New Hampshire","Grafton County",81,"High Incidenc",89786,7.6,90.2145100572472,5,6.09,74.5772182951597,0.999999999999927
33011,"New Hampshire","Hillsborough County",395,"High Incidenc",415247,7.3,95.1241068568828,5,8.84,63.9720410783416,0.999706488654325
33013,"New Hampshire","Merrimack County",190,"High Incidenc",151132,6.9,125.717915464627,5,7.97,63.4136134504205,0.957701171055205
33015,"New Hampshire","Rockingham County",351,"High Incidenc",309176,5.6,113.527570057184,5,9,58.5362730029851,0.999745116336562
33017,"New Hampshire","Strafford County",170,"High Incidenc",130090,7.2,130.678760857868,5,7.99,59.3599542719584,0.958724616975044
33019,"New Hampshire","Sullivan County",33,"High Incidenc",43144,7.5,76.4880400519192,5,7.12,71.3422874788508,0.999999999999871
34001,"New Jersey","Atlantic County",75,"High Incidenc",265429,9.6,28.2561438275396,6,13.28,48.236178916907,0.999999999999969
34003,"New Jersey","Bergen County",232,"High Incidenc",936692,8.7,24.7680133918086,6,12.07,35.9044958775451,1.00000000000007
34005,"New Jersey","Burlington County",186,"High Incidenc",445384,5.4,41.7617157329406,6,13.17,47.7381541739596,1.00000000000005
34007,"New Jersey","Camden County",157,"High Incidenc",507078,8.1,30.9617060886096,7,13.4,35.3065758348658,0.999999999999868
34009,"New Jersey","Cape May County",31,"High Incidenc",92560,8,33.4917891097666,6,13.46,35.4941301365579,0.99999999999929
