"HUC_12","PFOR90","PFOR"
"          NA",81.5752182,73.481163
"          NA",79.2111359,68.2012939
"          NA",76.4882584,70.0051651
"          NA",73.1847382,61.3976021
"          NA",83.2172241,75.4070206
"          NA",66.6169128,57.4171524
"          NA",71.0141754,59.4196014
"          NA",62.3848648,51.0311813
"          NA",78.3131485,69.6524887
"          NA",75.4894638,67.8257523
"          NA",62.7114868,54.7437782
"          NA",74.7544479,64.1884079
"          NA",55.2780724,46.5678749
"          NA",92.7485886,61.4187813
"          NA",90.3177567,82.9648285
"          NA",92.4197769,75.374527
"          NA",93.9392776,87.2947083
"          NA",91.6020355,82.6023026
"          NA",90.4574051,76.4146957
"          NA",98.071991,85.8558655
"          NA",93.0789185,84.5436249
"          NA",94.2451248,87.5914307
"          NA",94.9519043,88.478096
"          NA",95.7566376,84.634758
"          NA",93.2624664,78.179863
"          NA",89.0194702,80.3457184
"          NA",88.7993851,57.8346748
"          NA",93.1366043,78.1635818
"          NA",92.8121262,81.7227783
"          NA",88.7301712,71.6271591
"          NA",91.6204071,77.2719498
"          NA",91.3744583,69.5290298
"          NA",92.0253296,71.5057678
"          NA",91.6176605,66.0352859
"          NA",93.4673843,80.2554855
"          NA",90.4233932,74.7720108
"          NA",92.3774109,69.1897583
"          NA",94.0445023,67.143692
"          NA",90.1107483,70.5904312
"          NA",94.4446869,79.0390472
"          NA",93.943512,66.8739853
"          NA",92.799408,75.1319885
"          NA",89.2061386,64.7488251
"          NA",91.2281265,69.0801086
"          NA",90.9289246,65.0507965
"          NA",87.9542694,71.4728241
"          NA",82.9080887,65.7502441
"          NA",88.0637741,75.8618317
"          NA",83.7635956,71.532486
"          NA",81.6106644,71.2480011
"          NA",85.2527542,77.1108017
"          NA",86.9798584,72.5802612
"          NA",87.2114944,69.216507
"          NA",89.2135391,73.3830643
"          NA",93.3448257,78.7530212
"          NA",91.8263397,81.4416504
"          NA",91.0215302,67.3087616
"          NA",90.1684265,70.2200165
"          NA",88.6919174,73.6985168
"          NA",75.9137497,64.7720032
"          NA",94.0429306,77.0139465
"          NA",93.6027145,82.6644287
"          NA",95.3270035,83.0316849
"          NA",94.0128784,85.4226608
"          NA",95.1172256,84.5144119
"          NA",93.4137268,75.9388275
"          NA",90.7079391,79.0906677
"          NA",91.2959366,81.5372314
"          NA",85.903862,69.7267914
"          NA",82.7558823,69.6948776
"          NA",78.2078705,69.5174789
"          NA",80.7373276,64.0859985
"          NA",80.4992523,62.5868759
"          NA",65.0657349,57.7714157
"          NA",4.0436573,3.2206118
"          NA",79.9947052,57.2238617
"          NA",74.0116119,47.1591797
"          NA",77.6451416,57.5143242
"          NA",73.7277527,57.2426987
